student_code,university_code,company_code,role_title,channel_name,date_key,is_placed,ctc_lpa,interview_rounds,offers_received,days_to_offer
STU000026,UNI015,CMP028,Data Scientist,Job Portal,20220815,1,34.53,3,2,31.0
STU000027,UNI006,,,Recruitment Agency,20221215,0,,2,0,
STU000028,UNI009,,,Job Portal,20230215,0,,2,0,
STU000029,UNI020,CMP024,Software Engineer,Direct Application,20230215,1,41.85,4,2,30.0
STU000030,UNI028,,,Referral,20220815,0,,1,0,
STU000031,UNI024,,,Direct Application,20221015,0,,1,0,
STU000032,UNI001,,,Job Portal,20221015,0,,0,0,
STU000033,UNI013,CMP044,Operations Associate,Recruitment Agency,20230115,1,14.33,1,1,17.0
STU000034,UNI018,CMP009,ML Engineer,Job Portal,20230415,1,29.33,1,1,46.0
STU000035,UNI013,CMP027,Operations Associate,Direct Application,20230115,1,17.91,2,1,83.0
STU000036,UNI001,,,Job Portal,20230115,0,,2,0,
STU000037,UNI008,CMP026,Design Engineer,On-Campus,20230115,1,17.95,3,1,76.0
STU000038,UNI010,CMP040,ML Engineer,Direct Application,20230215,1,19.28,3,1,31.0
STU000039,UNI015,CMP074,Product Analyst,Job Portal,20221015,1,31.51,4,1,35.0
STU000040,UNI005,CMP008,Consultant,On-Campus,20220815,1,32.95,3,3,28.0
STU000041,UNI028,,,Recruitment Agency,20230315,0,,0,0,
STU000042,UNI019,CMP057,Frontend Engineer,Direct Application,20220815,1,35.62,4,1,65.0
STU000043,UNI021,CMP032,Backend Engineer,Direct Application,20220815,1,21.26,5,1,37.0
STU000044,UNI020,CMP049,Frontend Engineer,Direct Application,20230115,1,29.29,5,1,52.0
STU000045,UNI029,CMP055,Product Analyst,Recruitment Agency,20220915,1,23.21,2,1,48.0
STU000046,UNI027,,,Direct Application,20230415,0,,1,0,
STU000047,UNI014,,,Direct Application,20221215,0,,0,0,
STU000048,UNI007,,,Recruitment Agency,20221115,0,,1,0,
STU000049,UNI018,CMP062,Backend Engineer,On-Campus,20220915,1,10.48,1,1,58.0
STU000050,UNI027,CMP001,Product Analyst,On-Campus,20221215,1,8.46,5,1,34.0
STU000051,UNI023,CMP076,Data Scientist,Referral,20230415,1,11.72,3,1,14.0
STU000052,UNI008,CMP009,Cloud Engineer,Recruitment Agency,20221015,1,27.29,4,1,40.0
STU000053,UNI008,,,On-Campus,20221015,0,,1,0,
STU000054,UNI027,,,Referral,20220915,0,,0,0,
STU000055,UNI024,CMP015,Design Engineer,Direct Application,20221115,1,17.25,3,1,83.0
STU000056,UNI001,CMP053,Frontend Engineer,On-Campus,20221215,1,8.6,5,1,12.0
STU000057,UNI024,,,Referral,20230415,0,,2,0,
STU000058,UNI001,,,Recruitment Agency,20220915,0,,1,0,
STU000059,UNI012,CMP050,Design Engineer,Referral,20230115,1,7.1,2,1,31.0
STU000060,UNI030,CMP072,Consultant,Recruitment Agency,20221115,1,18.62,4,1,68.0
STU000061,UNI013,CMP071,Data Scientist,On-Campus,20230115,1,18.89,1,1,31.0
STU000062,UNI021,,,Direct Application,20230215,0,,0,0,
STU000063,UNI010,CMP071,Design Engineer,Referral,20230215,1,22.95,5,1,36.0
STU000064,UNI025,,,Direct Application,20221015,0,,2,0,
STU000065,UNI004,,,Job Portal,20221115,0,,1,0,
STU000066,UNI009,,,Direct Application,20220915,0,,2,0,
STU000067,UNI008,CMP034,Business Analyst,Recruitment Agency,20220815,1,19.88,3,2,16.0
STU000068,UNI022,,,Referral,20221215,0,,0,0,
STU000069,UNI030,CMP015,Business Analyst,On-Campus,20230415,1,22.33,1,2,41.0
STU000070,UNI010,CMP027,Frontend Engineer,Referral,20220915,1,20.02,3,1,72.0
STU000071,UNI025,CMP034,ML Engineer,Job Portal,20221215,1,21.85,4,1,64.0
STU000072,UNI023,CMP080,QA Engineer,On-Campus,20230215,1,6.67,4,3,26.0
STU000073,UNI015,CMP003,Product Analyst,Referral,20221215,1,17.42,1,3,40.0
STU000074,UNI023,CMP017,Consultant,Job Portal,20220815,1,19.49,3,1,24.0
STU000075,UNI010,CMP069,Frontend Engineer,Referral,20230115,1,8.75,4,3,16.0
STU000076,UNI002,,,Recruitment Agency,20220915,0,,2,0,
STU000077,UNI014,CMP079,Data Scientist,Job Portal,20230315,1,22.78,4,1,35.0
STU000078,UNI007,CMP051,ML Engineer,On-Campus,20230315,1,36.92,2,1,35.0
STU000079,UNI030,CMP046,Cloud Engineer,Referral,20230315,1,49.64,1,1,88.0
STU000080,UNI028,,,On-Campus,20220915,0,,2,0,
STU000081,UNI008,CMP046,Software Engineer,Job Portal,20230315,1,21.89,5,3,59.0
STU000082,UNI029,,,Job Portal,20221215,0,,2,0,
STU000083,UNI019,,,Job Portal,20220815,0,,0,0,
STU000084,UNI022,CMP054,Backend Engineer,Direct Application,20230115,1,12.5,3,1,23.0
STU000085,UNI015,CMP053,Design Engineer,On-Campus,20230115,1,19.56,2,1,69.0
STU000086,UNI017,,,Direct Application,20230415,0,,0,0,
STU000087,UNI022,,,Direct Application,20221015,0,,0,0,
STU000088,UNI024,,,Referral,20220915,0,,2,0,
STU000089,UNI019,,,Referral,20221215,0,,0,0,
STU000090,UNI030,CMP058,Backend Engineer,Referral,20221115,1,28.75,4,2,40.0
STU000091,UNI016,CMP012,Consultant,Referral,20220915,1,30.27,5,3,16.0
STU000092,UNI003,CMP050,Data Scientist,Referral,20230215,1,23.76,4,1,69.0
STU000093,UNI029,CMP080,Backend Engineer,On-Campus,20221015,1,12.45,4,1,11.0
STU000094,UNI018,,,Recruitment Agency,20220815,0,,2,0,
STU000095,UNI024,CMP054,Operations Associate,Job Portal,20230315,1,15.13,2,1,18.0
STU000096,UNI012,,,Recruitment Agency,20230315,0,,0,0,
STU000097,UNI009,CMP029,Cloud Engineer,Referral,20230215,1,12.4,3,1,49.0
STU000098,UNI008,CMP015,Frontend Engineer,Job Portal,20230315,1,29.36,3,1,39.0
STU000099,UNI004,,,Job Portal,20230215,0,,1,0,
STU000100,UNI020,CMP061,Backend Engineer,Direct Application,20230415,1,31.05,1,1,24.0
STU000101,UNI024,CMP066,Financial Analyst,On-Campus,20221015,1,13.56,5,2,12.0
STU000102,UNI026,CMP024,Systems Engineer,Direct Application,20221015,1,28.0,5,3,71.0
STU000103,UNI026,CMP042,Systems Engineer,Referral,20230415,1,13.0,1,3,93.0
STU000104,UNI005,CMP038,Backend Engineer,Job Portal,20221115,1,19.32,4,3,31.0
STU000105,UNI004,CMP003,Backend Engineer,On-Campus,20221015,1,8.57,1,2,27.0
STU000106,UNI016,,,Direct Application,20220915,0,,2,0,
STU000107,UNI004,,,Job Portal,20230115,0,,0,0,
STU000108,UNI013,,,Referral,20230415,0,,2,0,
STU000109,UNI024,,,Recruitment Agency,20220815,0,,2,0,
STU000110,UNI025,CMP048,Business Analyst,Recruitment Agency,20221215,1,27.24,5,1,25.0
STU000111,UNI011,,,Job Portal,20220915,0,,1,0,
STU000112,UNI015,CMP029,Cloud Engineer,Direct Application,20221115,1,23.32,2,1,42.0
STU000113,UNI001,CMP005,Financial Analyst,Direct Application,20221215,1,17.23,2,4,79.0
STU000114,UNI006,CMP043,QA Engineer,On-Campus,20230415,1,14.29,3,1,21.0
STU000115,UNI015,CMP077,Systems Engineer,Recruitment Agency,20221015,1,23.24,5,1,93.0
STU000116,UNI018,,,On-Campus,20230115,0,,1,0,
STU000117,UNI021,CMP067,Cloud Engineer,Job Portal,20220815,1,25.4,2,1,91.0
STU000118,UNI016,CMP045,Product Analyst,Recruitment Agency,20221215,1,17.84,5,1,69.0
STU000119,UNI001,,,Job Portal,20230115,0,,0,0,
STU000120,UNI013,,,On-Campus,20230215,0,,2,0,
STU000121,UNI007,CMP028,Financial Analyst,Recruitment Agency,20230415,1,26.89,5,4,91.0
STU000122,UNI009,,,Job Portal,20230115,0,,2,0,
STU000123,UNI011,,,Direct Application,20221215,0,,2,0,
STU000124,UNI017,CMP074,Consultant,Direct Application,20221015,1,24.36,1,1,55.0
STU000125,UNI006,,,Direct Application,20230115,0,,2,0,
STU000126,UNI029,CMP029,Product Analyst,Job Portal,20220815,1,6.74,1,1,16.0
STU000127,UNI026,CMP015,Frontend Engineer,Recruitment Agency,20220815,1,31.85,4,2,13.0
STU000128,UNI003,,,Recruitment Agency,20230115,0,,2,0,
STU000129,UNI003,,,Job Portal,20221015,0,,0,0,
STU000130,UNI012,CMP069,Financial Analyst,On-Campus,20230415,1,7.92,4,1,93.0
STU000131,UNI017,CMP023,Product Analyst,On-Campus,20220915,1,22.27,2,1,84.0
STU000132,UNI021,CMP036,Systems Engineer,On-Campus,20220915,1,14.97,4,1,16.0
STU000133,UNI013,CMP048,Frontend Engineer,Referral,20220915,1,18.01,2,2,8.0
STU000134,UNI030,,,Recruitment Agency,20230215,0,,0,0,
STU000135,UNI011,,,Job Portal,20220815,0,,2,0,
STU000136,UNI016,CMP008,Consultant,Job Portal,20220815,1,18.97,1,2,31.0
STU000137,UNI013,CMP033,ML Engineer,Referral,20220915,1,32.44,2,1,64.0
STU000138,UNI011,CMP045,Backend Engineer,Job Portal,20221115,1,13.6,2,2,53.0
STU000139,UNI005,CMP021,Software Engineer,Referral,20220815,1,18.19,1,1,35.0
STU000140,UNI003,CMP075,Data Scientist,Referral,20230415,1,50.34,4,3,12.0
STU000141,UNI028,,,Referral,20230115,0,,2,0,
STU000142,UNI024,CMP036,Business Analyst,Recruitment Agency,20230115,1,26.88,4,1,35.0
STU000143,UNI023,CMP034,Product Analyst,Job Portal,20221215,1,20.9,2,2,30.0
STU000144,UNI005,,,Referral,20220815,0,,0,0,
STU000145,UNI003,CMP021,Data Scientist,Referral,20230415,1,19.33,3,2,34.0
STU000146,UNI027,CMP027,ML Engineer,Job Portal,20230415,1,31.67,3,1,17.0
STU000147,UNI020,CMP069,Data Scientist,Direct Application,20230215,1,20.42,2,2,28.0
STU000148,UNI011,,,Referral,20230415,0,,2,0,
STU000149,UNI024,CMP003,Backend Engineer,Direct Application,20221215,1,9.85,4,2,15.0
STU000150,UNI017,,,On-Campus,20220915,0,,0,0,
STU000151,UNI007,CMP047,Financial Analyst,Referral,20221015,1,24.82,2,1,91.0
STU000152,UNI022,CMP042,Consultant,Direct Application,20230315,1,9.59,4,1,37.0
STU000153,UNI005,CMP033,Cloud Engineer,On-Campus,20220815,1,52.39,5,2,58.0
STU000154,UNI005,CMP046,Financial Analyst,Direct Application,20230115,1,26.26,5,2,82.0
STU000155,UNI022,,,Job Portal,20230315,0,,2,0,
STU000156,UNI013,CMP024,Product Analyst,Job Portal,20220915,1,14.68,5,1,37.0
STU000157,UNI016,,,Direct Application,20221115,0,,0,0,
STU000158,UNI019,CMP024,Cloud Engineer,Job Portal,20220915,1,34.57,5,2,56.0
STU000159,UNI001,CMP018,Cloud Engineer,Job Portal,20220915,1,33.89,4,2,86.0
STU000160,UNI030,CMP069,Operations Associate,Referral,20221015,1,11.4,1,2,12.0
STU000161,UNI025,CMP054,Business Analyst,Recruitment Agency,20220915,1,22.78,5,1,57.0
STU000162,UNI002,,,Job Portal,20221015,0,,2,0,
STU000163,UNI024,,,Job Portal,20221215,0,,2,0,
STU000164,UNI010,,,Job Portal,20221015,0,,1,0,
STU000165,UNI022,CMP016,Frontend Engineer,Direct Application,20221115,1,19.53,5,2,74.0
STU000166,UNI025,,,On-Campus,20221115,0,,2,0,
STU000167,UNI027,,,Recruitment Agency,20221215,0,,2,0,
STU000168,UNI029,,,Recruitment Agency,20230415,0,,2,0,
STU000169,UNI014,CMP074,Consultant,Referral,20230315,1,27.83,2,2,29.0
STU000170,UNI019,,,On-Campus,20230415,0,,0,0,
STU000171,UNI012,,,Job Portal,20221115,0,,1,0,
STU000172,UNI006,CMP044,Systems Engineer,On-Campus,20230115,1,22.34,1,1,35.0
STU000173,UNI012,,,Referral,20220815,0,,1,0,
STU000174,UNI025,CMP023,QA Engineer,Direct Application,20220915,1,16.7,1,1,14.0
STU000175,UNI013,,,Recruitment Agency,20221215,0,,0,0,
STU000176,UNI012,,,Direct Application,20221215,0,,0,0,
STU000177,UNI004,,,Recruitment Agency,20221215,0,,1,0,
STU000178,UNI010,,,Referral,20230315,0,,1,0,
STU000179,UNI027,,,Direct Application,20221115,0,,1,0,
STU000180,UNI002,,,Referral,20220915,0,,1,0,
STU000181,UNI008,CMP070,Data Analyst,Referral,20221015,1,22.68,2,2,78.0
STU000182,UNI012,CMP068,Systems Engineer,Job Portal,20221015,1,18.02,4,1,57.0
STU000183,UNI012,CMP038,Cloud Engineer,Recruitment Agency,20220915,1,10.78,2,1,28.0
STU000184,UNI023,,,Referral,20221215,0,,2,0,
STU000185,UNI006,,,Direct Application,20220815,0,,1,0,
STU000186,UNI022,,,Referral,20221015,0,,2,0,
STU000187,UNI030,,,Direct Application,20221015,0,,1,0,
STU000188,UNI001,,,Recruitment Agency,20221115,0,,2,0,
STU000189,UNI024,CMP045,Data Scientist,Recruitment Agency,20221015,1,26.9,3,1,25.0
STU000190,UNI023,CMP019,Software Engineer,Referral,20230415,1,22.09,3,1,64.0
STU000191,UNI023,,,Job Portal,20230415,0,,0,0,
STU000192,UNI026,,,Direct Application,20230115,0,,1,0,
STU000193,UNI020,,,Job Portal,20220915,0,,1,0,
STU000194,UNI010,,,Recruitment Agency,20230215,0,,0,0,
STU000195,UNI014,,,Direct Application,20230215,0,,2,0,
STU000196,UNI011,CMP046,Systems Engineer,Recruitment Agency,20220915,1,18.44,1,1,16.0
STU000197,UNI028,,,Referral,20220815,0,,1,0,
STU000198,UNI008,,,Direct Application,20230215,0,,2,0,
STU000199,UNI011,CMP036,Cloud Engineer,Recruitment Agency,20221215,1,24.33,4,1,40.0
STU000200,UNI019,,,Job Portal,20230415,0,,1,0,
STU000201,UNI006,CMP010,QA Engineer,Job Portal,20230315,1,6.83,3,1,28.0
STU000202,UNI028,CMP008,Data Scientist,Referral,20220915,1,23.76,1,1,19.0
STU000203,UNI027,CMP070,Financial Analyst,Recruitment Agency,20220815,1,20.77,3,1,42.0
STU000204,UNI028,CMP066,Data Analyst,On-Campus,20230215,1,8.41,5,1,60.0
STU000205,UNI002,CMP074,Consultant,Referral,20230215,1,20.21,5,2,18.0
STU000206,UNI025,,,On-Campus,20230115,0,,2,0,
STU000207,UNI028,CMP001,Data Scientist,Recruitment Agency,20221215,1,7.42,1,1,29.0
STU000208,UNI028,,,Referral,20221015,0,,0,0,
STU000209,UNI008,,,Recruitment Agency,20230215,0,,0,0,
STU000210,UNI019,CMP044,Operations Associate,Referral,20230415,1,25.64,1,2,48.0
STU000211,UNI025,CMP060,Backend Engineer,Referral,20221015,1,17.28,2,1,32.0
STU000212,UNI010,CMP047,Data Scientist,Direct Application,20230215,1,23.62,2,1,41.0
STU000213,UNI009,CMP019,Frontend Engineer,Direct Application,20221115,1,20.34,2,1,72.0
STU000214,UNI007,CMP066,Financial Analyst,Recruitment Agency,20221015,1,11.16,4,1,27.0
STU000215,UNI018,CMP015,Frontend Engineer,Job Portal,20230115,1,15.15,1,2,60.0
STU000216,UNI003,,,Referral,20221215,0,,0,0,
STU000217,UNI028,,,Job Portal,20221115,0,,2,0,
STU000218,UNI004,,,On-Campus,20220915,0,,0,0,
STU000219,UNI002,CMP002,Design Engineer,Job Portal,20221015,1,6.87,2,1,74.0
STU000220,UNI021,CMP016,Systems Engineer,Referral,20220815,1,21.3,2,1,86.0
STU000221,UNI017,,,On-Campus,20220815,0,,1,0,
STU000222,UNI001,,,On-Campus,20220815,0,,2,0,
STU000223,UNI005,CMP039,Data Scientist,Referral,20221115,1,22.68,1,2,11.0
STU000224,UNI022,,,Job Portal,20220815,0,,1,0,
STU000225,UNI021,CMP003,Product Analyst,On-Campus,20230315,1,15.18,5,2,57.0
STU000226,UNI009,,,Referral,20230115,0,,1,0,
STU000227,UNI003,,,Direct Application,20230415,0,,2,0,
STU000228,UNI013,,,Recruitment Agency,20221115,0,,2,0,
STU000229,UNI018,CMP044,QA Engineer,Direct Application,20221015,1,14.65,4,1,32.0
STU000230,UNI020,CMP036,Design Engineer,Referral,20220815,1,29.49,2,2,18.0
STU000231,UNI004,,,Job Portal,20221215,0,,1,0,
STU000232,UNI013,,,Job Portal,20220915,0,,0,0,
STU000233,UNI001,CMP062,ML Engineer,Recruitment Agency,20230415,1,9.62,1,1,35.0
STU000234,UNI029,,,Recruitment Agency,20220815,0,,1,0,
STU000235,UNI005,CMP039,Software Engineer,On-Campus,20221015,1,17.63,5,3,12.0
STU000236,UNI007,,,Job Portal,20221115,0,,0,0,
STU000237,UNI015,CMP057,Frontend Engineer,Recruitment Agency,20230315,1,31.58,1,1,28.0
STU000238,UNI014,CMP066,ML Engineer,Referral,20230215,1,14.52,5,1,75.0
STU000239,UNI010,CMP045,Design Engineer,On-Campus,20230115,1,11.33,4,1,36.0
STU000240,UNI018,,,Recruitment Agency,20220815,0,,0,0,
STU000241,UNI011,CMP070,Product Analyst,Job Portal,20220915,1,15.76,2,1,92.0
STU000242,UNI020,CMP006,Product Analyst,Recruitment Agency,20230315,1,44.38,4,1,64.0
STU000243,UNI030,,,Job Portal,20230215,0,,0,0,
STU000244,UNI002,CMP055,Backend Engineer,On-Campus,20221115,1,25.72,5,1,46.0
STU000245,UNI010,,,On-Campus,20220815,0,,0,0,
STU000246,UNI011,CMP003,Software Engineer,On-Campus,20230215,1,8.97,5,2,48.0
STU000247,UNI024,CMP064,Design Engineer,On-Campus,20230115,1,16.32,3,1,14.0
STU000248,UNI026,CMP040,Data Scientist,Job Portal,20230115,1,35.76,3,1,82.0
STU000249,UNI028,,,Job Portal,20221115,0,,2,0,
STU000250,UNI019,,,Referral,20230415,0,,2,0,
STU000251,UNI028,CMP031,Cloud Engineer,On-Campus,20230115,1,8.83,1,1,21.0
STU000252,UNI019,,,Recruitment Agency,20230215,0,,1,0,
STU000253,UNI017,CMP020,QA Engineer,Job Portal,20221215,1,21.97,5,1,54.0
STU000254,UNI028,,,On-Campus,20230415,0,,0,0,
STU000255,UNI025,CMP025,Operations Associate,Direct Application,20221015,1,20.57,1,1,74.0
STU000256,UNI019,CMP060,Cloud Engineer,Direct Application,20230315,1,22.43,2,4,66.0
STU000257,UNI009,CMP049,Frontend Engineer,Recruitment Agency,20220815,1,31.57,2,1,45.0
STU000258,UNI011,,,Referral,20221015,0,,1,0,
STU000259,UNI021,,,On-Campus,20220915,0,,1,0,
STU000260,UNI018,,,Job Portal,20221215,0,,1,0,
STU000261,UNI020,CMP032,Data Scientist,On-Campus,20221015,1,51.62,4,1,34.0
STU000262,UNI027,,,On-Campus,20221215,0,,2,0,
STU000263,UNI008,CMP029,QA Engineer,Referral,20230315,1,11.92,1,1,71.0
STU000264,UNI001,,,Job Portal,20230115,0,,1,0,
STU000265,UNI011,CMP024,Consultant,On-Campus,20221015,1,13.32,5,1,67.0
STU000266,UNI017,,,On-Campus,20220915,0,,2,0,
STU000267,UNI029,,,Referral,20230215,0,,1,0,
STU000268,UNI015,,,Recruitment Agency,20230315,0,,1,0,
STU000269,UNI008,CMP059,Design Engineer,Job Portal,20230115,1,15.75,2,1,9.0
STU000270,UNI026,CMP017,QA Engineer,Job Portal,20230115,1,16.83,3,1,30.0
STU000271,UNI009,CMP005,Business Analyst,Direct Application,20230315,1,16.82,3,1,68.0
STU000272,UNI019,CMP042,Systems Engineer,Recruitment Agency,20221115,1,17.8,3,2,64.0
STU000273,UNI015,CMP022,Software Engineer,Referral,20220915,1,45.66,1,2,84.0
STU000274,UNI017,,,On-Campus,20221015,0,,1,0,
STU000275,UNI024,CMP065,Design Engineer,Referral,20221215,1,12.84,4,1,73.0
STU000276,UNI024,,,On-Campus,20230115,0,,1,0,
STU000277,UNI022,,,Direct Application,20221115,0,,0,0,
STU000278,UNI007,,,On-Campus,20221215,0,,0,0,
STU000279,UNI011,CMP068,Data Analyst,On-Campus,20230115,1,15.54,1,2,78.0
STU000280,UNI013,,,Referral,20230415,0,,0,0,
STU000281,UNI026,CMP074,Design Engineer,Direct Application,20230315,1,23.96,1,1,39.0
STU000282,UNI016,CMP070,Data Scientist,Direct Application,20230315,1,28.49,3,1,26.0
STU000283,UNI026,,,Referral,20230115,0,,0,0,
STU000284,UNI005,CMP036,ML Engineer,Recruitment Agency,20220815,1,32.58,4,2,25.0
STU000285,UNI027,,,On-Campus,20221115,0,,2,0,
STU000286,UNI022,CMP043,Backend Engineer,Recruitment Agency,20220815,1,19.65,4,1,13.0
STU000287,UNI005,CMP053,Frontend Engineer,Job Portal,20220815,1,10.11,3,1,45.0
STU000288,UNI007,CMP001,Data Analyst,Job Portal,20221115,1,8.08,1,1,30.0
STU000289,UNI011,CMP013,Data Analyst,Direct Application,20221115,1,17.55,5,1,46.0
STU000290,UNI029,,,Recruitment Agency,20221015,0,,2,0,
STU000291,UNI014,,,Recruitment Agency,20220915,0,,1,0,
STU000292,UNI025,CMP061,Systems Engineer,Referral,20221215,1,12.0,2,1,39.0
STU000293,UNI003,,,Direct Application,20220915,0,,0,0,
STU000294,UNI010,,,Recruitment Agency,20230215,0,,0,0,
STU000295,UNI004,,,Direct Application,20220915,0,,1,0,
STU000296,UNI013,CMP037,Frontend Engineer,On-Campus,20230415,1,7.15,1,1,61.0
STU000297,UNI005,CMP026,Data Analyst,On-Campus,20220915,1,21.47,2,1,86.0
STU000298,UNI021,,,Recruitment Agency,20230415,0,,2,0,
STU000299,UNI019,CMP077,Consultant,Recruitment Agency,20230215,1,28.94,1,3,44.0
STU000300,UNI005,,,Job Portal,20230115,0,,1,0,
STU000301,UNI001,,,On-Campus,20230315,0,,1,0,
STU000302,UNI003,CMP073,Software Engineer,Referral,20221115,1,38.43,1,2,63.0
STU000303,UNI001,,,On-Campus,20221015,0,,2,0,
STU000304,UNI008,,,Recruitment Agency,20220915,0,,2,0,
STU000305,UNI024,CMP006,Design Engineer,Recruitment Agency,20220915,1,20.95,5,1,17.0
STU000306,UNI003,,,On-Campus,20230315,0,,0,0,
STU000307,UNI023,,,Recruitment Agency,20221015,0,,1,0,
STU000308,UNI002,,,On-Campus,20221015,0,,2,0,
STU000309,UNI015,CMP015,Design Engineer,On-Campus,20230315,1,25.66,3,1,40.0
STU000310,UNI025,,,Direct Application,20230315,0,,1,0,
STU000311,UNI022,CMP013,Frontend Engineer,Recruitment Agency,20230315,1,14.82,3,1,58.0
STU000312,UNI029,,,Recruitment Agency,20221215,0,,1,0,
STU000313,UNI024,CMP041,Business Analyst,Recruitment Agency,20230315,1,11.59,5,1,86.0
STU000314,UNI028,CMP048,Product Analyst,Referral,20230215,1,28.11,4,1,8.0
STU000315,UNI007,,,Job Portal,20221015,0,,0,0,
STU000316,UNI024,CMP048,QA Engineer,Direct Application,20230315,1,19.81,3,1,63.0
STU000317,UNI029,CMP047,QA Engineer,Referral,20220815,1,22.2,1,1,46.0
STU000318,UNI025,,,Job Portal,20230415,0,,1,0,
STU000319,UNI010,,,Direct Application,20230115,0,,1,0,
STU000320,UNI004,CMP007,Frontend Engineer,On-Campus,20221015,1,15.49,3,1,16.0
STU000321,UNI026,,,On-Campus,20230115,0,,0,0,
STU000322,UNI016,,,Job Portal,20230215,0,,2,0,
STU000323,UNI024,,,Recruitment Agency,20221215,0,,1,0,
STU000324,UNI012,CMP076,Cloud Engineer,Recruitment Agency,20230215,1,8.8,3,1,54.0
STU000325,UNI006,CMP060,Consultant,Direct Application,20230415,1,10.52,3,1,31.0
STU000326,UNI010,CMP059,Software Engineer,Recruitment Agency,20221115,1,17.04,5,1,66.0
STU000327,UNI018,CMP070,Frontend Engineer,Referral,20221015,1,27.21,1,1,89.0
STU000328,UNI015,,,Job Portal,20230415,0,,2,0,
STU000329,UNI024,CMP080,Product Analyst,On-Campus,20220915,1,13.74,5,1,46.0
STU000330,UNI001,CMP031,Cloud Engineer,Job Portal,20221115,1,8.99,2,1,27.0
STU000331,UNI010,,,Recruitment Agency,20220815,0,,2,0,
STU000332,UNI026,,,Direct Application,20221015,0,,1,0,
STU000333,UNI010,CMP074,Software Engineer,On-Campus,20230115,1,18.59,1,2,18.0
STU000334,UNI022,,,Job Portal,20230215,0,,2,0,
STU000335,UNI024,,,Direct Application,20221015,0,,0,0,
STU000336,UNI005,,,Direct Application,20230115,0,,2,0,
STU000337,UNI005,CMP055,Systems Engineer,Direct Application,20220815,1,34.66,4,3,83.0
STU000338,UNI015,CMP027,Software Engineer,Recruitment Agency,20230415,1,34.08,5,1,82.0
STU000339,UNI027,CMP026,Consultant,On-Campus,20230315,1,16.33,5,2,86.0
STU000340,UNI016,CMP036,Financial Analyst,Recruitment Agency,20220915,1,22.01,5,1,26.0
STU000341,UNI017,,,On-Campus,20220915,0,,0,0,
STU000342,UNI023,,,Job Portal,20221115,0,,2,0,
STU000343,UNI004,CMP047,Backend Engineer,Job Portal,20221115,1,17.98,5,1,10.0
STU000344,UNI026,,,Recruitment Agency,20230215,0,,2,0,
STU000345,UNI029,CMP069,Cloud Engineer,Recruitment Agency,20221115,1,15.59,1,1,49.0
STU000346,UNI008,CMP007,Product Analyst,Recruitment Agency,20230315,1,27.35,1,2,24.0
STU000347,UNI026,CMP049,Cloud Engineer,Job Portal,20230415,1,56.43,1,1,34.0
STU000348,UNI013,CMP028,Backend Engineer,Referral,20230215,1,24.63,4,1,53.0
STU000349,UNI014,CMP066,Operations Associate,Referral,20221215,1,13.41,3,1,82.0
STU000350,UNI016,CMP044,Systems Engineer,Job Portal,20230115,1,14.5,4,1,50.0
STU000351,UNI013,,,Recruitment Agency,20230415,0,,1,0,
STU000352,UNI030,CMP002,Cloud Engineer,Direct Application,20230315,1,20.25,1,2,25.0
