student_code,gender,degree,major,cgpa_band,prior_internship
STU000137,Female,MCA,Computer Applications,7-8,False
STU000138,Female,B.Tech,Civil,8-9,True
STU000139,Male,B.Tech,Electronics,7-8,True
STU000140,Female,MBA,Finance,7-8,False
STU000141,Male,M.Tech,Computer Science,9+,False
STU000142,Male,MCA,Computer Applications,8-9,True
STU000143,Male,MBA,Finance,7-8,False
STU000144,Female,MCA,Computer Applications,<7,False
STU000145,Male,MBA,Marketing,7-8,False
STU000146,Male,M.Tech,Data Science,9+,True
STU000147,Female,B.Tech,Information Technology,8-9,True
STU000148,Male,MBA,Marketing,8-9,True
STU000149,Female,M.Tech,Computer Science,7-8,False
STU000150,Male,MBA,Finance,9+,False
STU000151,Male,MBA,Finance,9+,False
STU000152,Male,MCA,Computer Applications,8-9,False
STU000153,Female,M.Tech,Computer Science,8-9,False
STU000154,Female,M.Tech,Computer Science,<7,False
STU000155,Male,MCA,Computer Applications,<7,True
STU000156,Female,M.Tech,VLSI,7-8,False
STU000157,Male,M.Tech,Data Science,7-8,True
STU000158,Male,MBA,Finance,8-9,False
STU000159,Male,M.Tech,Data Science,9+,True
STU000160,Male,M.Tech,Data Science,7-8,False
STU000161,Female,MCA,Computer Applications,8-9,True
STU000162,Female,B.Tech,Electronics,8-9,False
STU000163,Male,MBA,Operations,8-9,True
STU000164,Female,B.Tech,Information Technology,7-8,False
STU000165,Male,M.Tech,VLSI,8-9,False
STU000166,Female,MCA,Computer Applications,<7,False
STU000167,Female,MBA,Marketing,8-9,True
STU000168,Female,M.Tech,VLSI,7-8,True
STU000169,Male,MBA,Marketing,<7,True
STU000170,Male,MBA,Marketing,8-9,False
STU000171,Male,M.Tech,Computer Science,7-8,False
STU000172,Male,MBA,Finance,7-8,False
STU000173,Female,M.Tech,Computer Science,<7,False
STU000174,Female,M.Tech,Data Science,8-9,False
STU000175,Male,MCA,Computer Applications,9+,False
STU000176,Female,M.Tech,VLSI,9+,True
STU000177,Male,B.Tech,Electronics,7-8,False
STU000178,Male,MCA,Computer Applications,7-8,False
STU000179,Male,MCA,Computer Applications,7-8,False
STU000180,Female,M.Tech,VLSI,<7,False
STU000181,Female,M.Tech,Data Science,8-9,True
STU000182,Male,MBA,Finance,9+,True
STU000183,Male,M.Tech,Computer Science,7-8,True
STU000184,Male,MBA,Finance,7-8,False
STU000185,Female,B.Tech,Civil,<7,True
STU000186,Female,MCA,Computer Applications,8-9,False
STU000187,Female,B.Tech,Information Technology,7-8,True
STU000188,Male,M.Tech,Data Science,7-8,False
STU000189,Male,M.Tech,Computer Science,7-8,False
STU000190,Male,MCA,Computer Applications,8-9,True
STU000191,Male,MCA,Computer Applications,<7,True
STU000192,Female,MCA,Computer Applications,<7,False
STU000193,Male,MBA,Marketing,7-8,True
STU000194,Female,B.Tech,Mechanical,8-9,False
STU000195,Male,MBA,Finance,8-9,False
STU000196,Male,MCA,Computer Applications,7-8,True
STU000197,Female,MCA,Computer Applications,8-9,True
STU000198,Male,B.Tech,Civil,8-9,True
STU000199,Male,MBA,Operations,7-8,True
STU000200,Female,M.Tech,Computer Science,8-9,True
STU000201,Male,MBA,Finance,7-8,False
STU000202,Male,B.Tech,Civil,7-8,True
STU000203,Female,MCA,Computer Applications,8-9,False
STU000204,Male,M.Tech,Data Science,8-9,True
STU000205,Male,B.Tech,Electronics,8-9,False
STU000206,Male,MCA,Computer Applications,7-8,True
STU000207,Male,B.Tech,Computer Science,<7,False
STU000208,Male,MBA,Marketing,7-8,False
STU000209,Female,MCA,Computer Applications,7-8,False
STU000210,Male,MCA,Computer Applications,<7,False
STU000211,Female,MBA,Finance,9+,True
STU000212,Male,MCA,Computer Applications,8-9,False
STU000213,Female,MCA,Computer Applications,8-9,True
STU000214,Female,MCA,Computer Applications,7-8,False
STU000215,Male,MCA,Computer Applications,7-8,False
STU000216,Female,MBA,Operations,7-8,True
STU000217,Female,B.Tech,Electronics,7-8,False
STU000218,Male,M.Tech,VLSI,<7,True
STU000219,Female,MCA,Computer Applications,8-9,False
STU000220,Male,MCA,Computer Applications,7-8,True
STU000221,Female,B.Tech,Mechanical,8-9,False
STU000222,Female,M.Tech,Data Science,9+,True
STU000223,Male,MCA,Computer Applications,7-8,True
STU000224,Male,B.Tech,Mechanical,8-9,True
STU000225,Male,B.Tech,Mechanical,9+,False
STU000226,Female,M.Tech,Computer Science,<7,False
STU000227,Female,MBA,Finance,9+,False
STU000228,Male,B.Tech,Computer Science,<7,True
STU000229,Male,MBA,Finance,8-9,True
STU000230,Male,M.Tech,Data Science,7-8,True
STU000231,Female,MCA,Computer Applications,7-8,False
STU000232,Male,M.Tech,VLSI,<7,False
STU000233,Male,B.Tech,Computer Science,<7,False
STU000234,Male,B.Tech,Mechanical,<7,True
STU000235,Female,M.Tech,Computer Science,7-8,True
STU000236,Female,B.Tech,Electronics,<7,False
STU000237,Male,B.Tech,Computer Science,<7,True
STU000238,Male,M.Tech,Computer Science,7-8,False
STU000239,Male,M.Tech,VLSI,<7,True
STU000240,Female,MBA,Finance,<7,False
STU000241,Male,MBA,Operations,<7,False
STU000242,Male,B.Tech,Information Technology,9+,True
STU000243,Male,B.Tech,Electronics,<7,True
STU000244,Female,MCA,Computer Applications,9+,True
STU000245,Male,M.Tech,Computer Science,8-9,True
STU000246,Female,B.Tech,Mechanical,8-9,True
STU000247,Female,M.Tech,Computer Science,7-8,False
STU000248,Female,MCA,Computer Applications,8-9,False
STU000249,Female,M.Tech,VLSI,<7,False
STU000250,Female,MBA,Marketing,9+,False
STU000251,Male,MBA,Operations,7-8,False
STU000252,Male,MBA,Finance,7-8,False
STU000253,Male,MCA,Computer Applications,7-8,True
STU000254,Male,MBA,Marketing,7-8,False
STU000255,Male,MCA,Computer Applications,7-8,False
STU000256,Female,MCA,Computer Applications,7-8,False
STU000257,Female,M.Tech,Computer Science,7-8,True
STU000258,Male,M.Tech,Computer Science,7-8,False
STU000259,Female,M.Tech,Data Science,9+,False
STU000260,Female,MCA,Computer Applications,8-9,True
STU000261,Male,M.Tech,VLSI,8-9,True
STU000262,Male,B.Tech,Electronics,7-8,False
STU000263,Male,MBA,Marketing,7-8,True
STU000264,Male,B.Tech,Civil,7-8,True
STU000265,Male,M.Tech,VLSI,8-9,True
STU000266,Male,B.Tech,Computer Science,7-8,False
STU000267,Female,MCA,Computer Applications,8-9,False
STU000268,Male,B.Tech,Mechanical,7-8,False
STU000269,Female,MBA,Operations,8-9,False
STU000270,Male,MCA,Computer Applications,<7,False
STU000271,Male,M.Tech,Computer Science,<7,False
STU000272,Female,B.Tech,Civil,9+,True
STU000273,Male,MCA,Computer Applications,7-8,True
STU000274,Male,B.Tech,Computer Science,7-8,True
STU000275,Female,M.Tech,Data Science,7-8,True
STU000276,Female,M.Tech,Computer Science,8-9,False
STU000277,Male,MBA,Finance,7-8,False
STU000278,Male,M.Tech,VLSI,7-8,False
STU000279,Male,B.Tech,Civil,7-8,False
STU000280,Male,M.Tech,VLSI,9+,False
STU000281,Female,MCA,Computer Applications,7-8,True
STU000282,Female,MBA,Finance,9+,False
STU000283,Male,MCA,Computer Applications,7-8,False
STU000284,Male,B.Tech,Civil,7-8,False
STU000285,Male,M.Tech,Computer Science,<7,False
STU000286,Female,B.Tech,Computer Science,8-9,False
STU000287,Male,MBA,Operations,<7,False
STU000288,Female,B.Tech,Electronics,9+,False
STU000289,Male,MCA,Computer Applications,7-8,False
STU000290,Male,B.Tech,Information Technology,7-8,True
STU000291,Male,MBA,Operations,7-8,False
STU000292,Male,B.Tech,Computer Science,7-8,False
STU000293,Male,MBA,Marketing,8-9,False
STU000294,Female,MCA,Computer Applications,7-8,False
STU000295,Female,B.Tech,Mechanical,7-8,False
STU000296,Female,MCA,Computer Applications,<7,True
STU000297,Female,B.Tech,Mechanical,<7,False
STU000298,Male,B.Tech,Civil,8-9,False
STU000299,Female,MBA,Marketing,7-8,False
STU000300,Female,MBA,Finance,<7,False
STU000301,Male,MBA,Operations,7-8,False
STU000302,Male,M.Tech,VLSI,7-8,False
STU000303,Male,B.Tech,Mechanical,7-8,False
STU000304,Female,M.Tech,VLSI,8-9,False
STU000305,Female,B.Tech,Civil,7-8,False
STU000306,Male,MCA,Computer Applications,<7,True
STU000307,Male,MCA,Computer Applications,7-8,True
STU000308,Female,M.Tech,Computer Science,8-9,True
STU000309,Male,B.Tech,Information Technology,7-8,True
STU000310,Female,MCA,Computer Applications,7-8,False
STU000311,Male,M.Tech,Computer Science,8-9,True
STU000312,Female,MBA,Operations,7-8,False
STU000313,Female,B.Tech,Mechanical,9+,False
STU000314,Male,MCA,Computer Applications,9+,False
STU000315,Male,B.Tech,Information Technology,7-8,False
STU000316,Female,MCA,Computer Applications,<7,False
STU000317,Male,M.Tech,Computer Science,7-8,False
STU000318,Male,MBA,Finance,<7,False
STU000319,Male,MBA,Marketing,8-9,True
STU000320,Male,M.Tech,Data Science,8-9,True
STU000321,Female,MBA,Operations,7-8,True
STU000322,Male,B.Tech,Mechanical,7-8,False
STU000323,Male,MCA,Computer Applications,<7,True
STU000324,Male,MCA,Computer Applications,<7,True
STU000325,Male,MBA,Finance,7-8,True
STU000326,Male,B.Tech,Civil,9+,True
STU000327,Male,M.Tech,Computer Science,8-9,False
STU000328,Female,B.Tech,Mechanical,7-8,True
STU000329,Female,MBA,Finance,9+,True
STU000330,Male,MBA,Marketing,8-9,False
STU000331,Male,MBA,Marketing,7-8,False
STU000332,Female,M.Tech,VLSI,8-9,False
STU000333,Male,MBA,Marketing,7-8,False
STU000334,Male,M.Tech,Computer Science,<7,False
STU000335,Female,MBA,Operations,<7,False
STU000336,Male,MBA,Marketing,8-9,True
STU000337,Female,MBA,Marketing,8-9,True
STU000338,Female,MCA,Computer Applications,7-8,True
STU000339,Male,B.Tech,Mechanical,9+,False
STU000340,Male,B.Tech,Mechanical,8-9,True
STU000341,Male,B.Tech,Computer Science,7-8,True
STU000342,Male,M.Tech,VLSI,8-9,False
STU000343,Female,B.Tech,Civil,<7,False
STU000344,Male,M.Tech,Computer Science,<7,True
STU000345,Male,B.Tech,Information Technology,8-9,False
STU000346,Male,MBA,Operations,9+,False
STU000347,Male,M.Tech,Data Science,7-8,True
STU000348,Female,MCA,Computer Applications,7-8,True
STU000349,Male,MBA,Marketing,9+,True
STU000350,Male,M.Tech,VLSI,7-8,False
STU000351,Male,M.Tech,Computer Science,7-8,False
STU000352,Male,MCA,Computer Applications,7-8,False
STU000353,Male,B.Tech,Information Technology,8-9,False
STU000354,Female,MBA,Marketing,7-8,False
STU000355,Male,MCA,Computer Applications,<7,True
STU000356,Male,M.Tech,Computer Science,<7,False
STU000357,Male,B.Tech,Electronics,8-9,False
STU000358,Male,MCA,Computer Applications,9+,True
STU000359,Female,MCA,Computer Applications,8-9,False
STU000360,Male,MBA,Operations,7-8,True
STU000361,Male,MCA,Computer Applications,8-9,False
STU000362,Male,B.Tech,Civil,8-9,True
STU000363,Male,MBA,Operations,7-8,False
STU000364,Male,MCA,Computer Applications,8-9,True
STU000365,Male,MCA,Computer Applications,7-8,True
STU000366,Male,M.Tech,VLSI,7-8,False
STU000367,Male,MBA,Finance,8-9,False
STU000368,Male,M.Tech,Data Science,7-8,False
STU000369,Male,MBA,Operations,<7,True
STU000370,Female,B.Tech,Information Technology,<7,True
STU000371,Male,B.Tech,Civil,7-8,False
STU000372,Male,MBA,Operations,7-8,True
STU000373,Female,MBA,Operations,9+,True
STU000374,Male,MBA,Operations,7-8,False
STU000375,Male,MCA,Computer Applications,7-8,True
STU000376,Female,MBA,Finance,9+,True
STU000377,Male,B.Tech,Mechanical,<7,False
STU000378,Female,M.Tech,VLSI,<7,True
STU000379,Male,M.Tech,Computer Science,7-8,False
STU000380,Male,MBA,Finance,<7,False
STU000381,Female,MBA,Finance,7-8,True
STU000382,Female,M.Tech,Computer Science,7-8,False
STU000383,Male,MBA,Finance,<7,False
STU000384,Male,M.Tech,VLSI,9+,False
STU000385,Male,M.Tech,Computer Science,9+,True
STU000386,Female,M.Tech,VLSI,9+,False
STU000387,Male,MBA,Marketing,7-8,False
STU000388,Male,MCA,Computer Applications,9+,True
STU000389,Male,M.Tech,VLSI,8-9,True
STU000390,Male,M.Tech,Data Science,8-9,False
STU000391,Male,MCA,Computer Applications,7-8,True
STU000392,Male,M.Tech,VLSI,8-9,True
STU000393,Female,B.Tech,Mechanical,8-9,True
STU000394,Male,B.Tech,Electronics,7-8,True
STU000395,Male,MBA,Operations,7-8,False
STU000396,Female,B.Tech,Mechanical,9+,False
STU000397,Female,M.Tech,VLSI,8-9,False
STU000398,Male,M.Tech,Computer Science,<7,False
STU000399,Male,MCA,Computer Applications,8-9,True
STU000400,Male,MBA,Marketing,8-9,True
STU000401,Male,B.Tech,Electronics,8-9,False
STU000402,Male,B.Tech,Information Technology,<7,True
STU000403,Male,MBA,Operations,8-9,False
STU000404,Male,M.Tech,Data Science,8-9,False
STU000405,Male,MCA,Computer Applications,7-8,True
STU000406,Male,MBA,Finance,9+,True
STU000407,Male,MCA,Computer Applications,8-9,False
STU000408,Female,M.Tech,VLSI,<7,False
STU000409,Female,MBA,Marketing,8-9,True
STU000410,Female,MBA,Finance,<7,False
STU000411,Female,B.Tech,Computer Science,7-8,False
STU000412,Female,MBA,Operations,7-8,True
STU000413,Male,MBA,Finance,7-8,False
STU000414,Male,MBA,Marketing,7-8,False
STU000415,Male,MCA,Computer Applications,7-8,True
STU000416,Female,MBA,Marketing,8-9,False
STU000417,Male,MCA,Computer Applications,7-8,False
STU000418,Male,MCA,Computer Applications,<7,False
STU000419,Male,M.Tech,VLSI,9+,True
STU000420,Male,MCA,Computer Applications,7-8,True
STU000421,Male,MCA,Computer Applications,7-8,False
STU000422,Female,B.Tech,Mechanical,<7,True
STU000423,Female,MBA,Marketing,7-8,False
STU000424,Male,MCA,Computer Applications,<7,False
STU000425,Male,MBA,Marketing,7-8,True
STU000426,Female,MBA,Finance,7-8,True
STU000427,Male,B.Tech,Information Technology,7-8,True
STU000428,Female,B.Tech,Mechanical,8-9,False
STU000429,Male,MBA,Finance,7-8,False
STU000430,Male,MCA,Computer Applications,7-8,True
STU000431,Female,MCA,Computer Applications,7-8,False
STU000432,Male,B.Tech,Computer Science,7-8,False
STU000433,Male,B.Tech,Computer Science,7-8,True
STU000434,Male,B.Tech,Electronics,7-8,False
STU000435,Male,M.Tech,VLSI,7-8,False
STU000436,Male,B.Tech,Mechanical,9+,False
STU000437,Female,MCA,Computer Applications,7-8,True
STU000438,Female,MCA,Computer Applications,8-9,False
STU000439,Male,MCA,Computer Applications,9+,True
STU000440,Female,M.Tech,Data Science,<7,False
STU000441,Male,M.Tech,Computer Science,7-8,False
STU000442,Male,M.Tech,Data Science,7-8,True
STU000443,Female,B.Tech,Electronics,<7,True
STU000444,Female,MBA,Marketing,7-8,False
STU000445,Male,B.Tech,Information Technology,8-9,True
STU000446,Male,MCA,Computer Applications,7-8,True
STU000447,Male,B.Tech,Mechanical,<7,False
STU000448,Female,MCA,Computer Applications,8-9,False
STU000449,Female,MBA,Marketing,7-8,False
STU000450,Female,MBA,Marketing,7-8,False
STU000451,Male,B.Tech,Computer Science,7-8,False
STU000452,Male,MBA,Finance,8-9,True
STU000453,Female,B.Tech,Information Technology,7-8,False
STU000454,Female,B.Tech,Mechanical,<7,True
STU000455,Male,MCA,Computer Applications,7-8,False
STU000456,Male,MCA,Computer Applications,<7,False
STU000457,Female,MCA,Computer Applications,8-9,False
STU000458,Male,MCA,Computer Applications,9+,False
STU000459,Male,M.Tech,VLSI,7-8,False
STU000460,Female,M.Tech,Computer Science,8-9,True
STU000461,Female,M.Tech,Computer Science,8-9,False
STU000462,Male,MBA,Marketing,8-9,False
STU000463,Male,M.Tech,Computer Science,9+,True
STU000464,Female,B.Tech,Computer Science,8-9,False
STU000465,Male,M.Tech,Computer Science,<7,False
STU000466,Female,B.Tech,Electronics,7-8,False
STU000467,Male,M.Tech,Computer Science,<7,True
STU000468,Male,MBA,Operations,8-9,False
STU000469,Male,MCA,Computer Applications,8-9,False
STU000470,Male,MBA,Marketing,9+,True
STU000471,Female,MBA,Finance,9+,True
STU000472,Male,MBA,Finance,<7,False
STU000473,Female,MBA,Operations,<7,True
STU000474,Male,MBA,Operations,7-8,False
STU000475,Female,B.Tech,Electronics,8-9,False
STU000476,Male,B.Tech,Civil,7-8,False
STU000477,Female,MCA,Computer Applications,8-9,False
STU000478,Female,MCA,Computer Applications,9+,False
STU000479,Female,M.Tech,VLSI,<7,False
STU000480,Female,B.Tech,Civil,7-8,True
STU000481,Male,B.Tech,Information Technology,8-9,True
STU000482,Female,M.Tech,Computer Science,7-8,True
STU000483,Male,B.Tech,Mechanical,8-9,False
STU000484,Female,B.Tech,Civil,7-8,False
STU000485,Male,M.Tech,VLSI,8-9,False
STU000486,Female,MBA,Finance,7-8,True
STU000487,Female,MBA,Marketing,7-8,False
STU000488,Male,MBA,Marketing,8-9,False
STU000489,Female,MCA,Computer Applications,7-8,False
STU000490,Male,M.Tech,Computer Science,8-9,False
STU000491,Female,MBA,Operations,8-9,True
STU000492,Female,B.Tech,Information Technology,8-9,False
STU000493,Female,B.Tech,Electronics,8-9,False
STU000494,Female,M.Tech,Data Science,7-8,True
STU000495,Male,MCA,Computer Applications,<7,True
STU000496,Female,MBA,Marketing,<7,False
STU000497,Male,MCA,Computer Applications,7-8,True
STU000498,Male,MBA,Operations,8-9,True
STU000499,Male,B.Tech,Information Technology,7-8,True
STU000500,Male,B.Tech,Information Technology,7-8,False
STU000501,Male,B.Tech,Computer Science,<7,False
STU000502,Female,MBA,Marketing,8-9,False
STU000503,Female,MBA,Finance,8-9,False
STU000504,Male,MBA,Finance,7-8,False
STU000505,Male,MCA,Computer Applications,7-8,False
STU000506,Male,B.Tech,Civil,7-8,True
STU000507,Female,B.Tech,Civil,8-9,True
STU000508,Female,MCA,Computer Applications,9+,True
STU000509,Female,B.Tech,Civil,8-9,True
STU000510,Female,B.Tech,Electronics,9+,False
STU000511,Male,MBA,Finance,7-8,False
STU000512,Male,M.Tech,Computer Science,9+,False
STU000513,Male,MCA,Computer Applications,7-8,True
STU000514,Male,M.Tech,Computer Science,8-9,True
STU000515,Female,B.Tech,Electronics,<7,False
STU000516,Male,MBA,Operations,8-9,True
STU000517,Female,MBA,Operations,7-8,True
STU000518,Male,M.Tech,Data Science,9+,False
STU000519,Male,B.Tech,Mechanical,8-9,False
STU000520,Male,MCA,Computer Applications,8-9,False
STU000521,Male,B.Tech,Mechanical,8-9,False
STU000522,Male,M.Tech,Data Science,8-9,False
STU000523,Female,MBA,Finance,7-8,False
STU000524,Male,M.Tech,VLSI,8-9,False
STU000525,Male,MCA,Computer Applications,7-8,True
STU000526,Male,B.Tech,Computer Science,<7,False
STU000527,Female,MCA,Computer Applications,8-9,True
STU000528,Male,B.Tech,Computer Science,8-9,False
STU000529,Female,MBA,Finance,7-8,False
STU000530,Male,B.Tech,Computer Science,8-9,True
STU000531,Male,B.Tech,Mechanical,<7,True
STU000532,Male,M.Tech,Data Science,7-8,True
STU000533,Female,MBA,Operations,<7,False
STU000534,Female,M.Tech,Data Science,7-8,True
STU000535,Female,B.Tech,Computer Science,<7,True
STU000536,Female,B.Tech,Information Technology,7-8,True
STU000537,Male,B.Tech,Computer Science,7-8,False
STU000538,Female,MBA,Marketing,8-9,False
STU000539,Male,B.Tech,Computer Science,9+,False
STU000540,Male,MBA,Finance,8-9,False
STU000541,Male,B.Tech,Mechanical,7-8,True
STU000542,Male,MBA,Marketing,<7,True
STU000543,Female,MBA,Operations,<7,False
STU000544,Male,MCA,Computer Applications,7-8,True
STU000545,Male,MCA,Computer Applications,8-9,True
STU000546,Male,MBA,Operations,<7,False
STU000547,Female,M.Tech,Computer Science,7-8,True
STU000548,Male,MCA,Computer Applications,7-8,False
STU000549,Male,MCA,Computer Applications,9+,False
STU000550,Male,MBA,Operations,8-9,False
STU000551,Male,MCA,Computer Applications,9+,False
STU000552,Female,B.Tech,Information Technology,<7,True
STU000553,Female,M.Tech,Data Science,7-8,False
STU000554,Female,MBA,Operations,7-8,True
STU000555,Male,B.Tech,Computer Science,7-8,False
STU000556,Male,MBA,Finance,<7,True
STU000557,Male,B.Tech,Civil,7-8,False
STU000558,Male,MBA,Operations,7-8,False
STU000559,Female,MBA,Marketing,9+,False
STU000560,Female,B.Tech,Mechanical,7-8,True
STU000561,Female,B.Tech,Mechanical,7-8,False
STU000562,Male,MCA,Computer Applications,8-9,True
STU000563,Male,MBA,Marketing,7-8,False
STU000564,Male,MBA,Operations,7-8,False
STU000565,Male,M.Tech,Data Science,<7,False
STU000566,Male,MBA,Operations,<7,False
STU000567,Male,MCA,Computer Applications,7-8,False
STU000568,Female,B.Tech,Electronics,<7,True
STU000569,Male,M.Tech,Computer Science,7-8,False
STU000570,Female,MBA,Finance,8-9,True
STU000571,Female,MBA,Finance,8-9,True
STU000572,Male,MCA,Computer Applications,7-8,False
STU000573,Male,MBA,Marketing,7-8,False
STU000574,Male,B.Tech,Information Technology,9+,True
STU000575,Male,MCA,Computer Applications,8-9,True
STU000576,Male,MCA,Computer Applications,7-8,False
